North,South,East,West,Current,Number
Empty,Empty,Empty,Empty,Empty,0
Empty,Empty,Empty,Empty,Can,1
Empty,Empty,Empty,Empty,Wall,2
Empty,Empty,Empty,Can,Empty,3
Empty,Empty,Empty,Can,Can,4
Empty,Empty,Empty,Can,Wall,5
Empty,Empty,Empty,Wall,Empty,6
Empty,Empty,Empty,Wall,Can,7
Empty,Empty,Empty,Wall,Wall,8
Empty,Empty,Can,Empty,Empty,9
Empty,Empty,Can,Empty,Can,10
Empty,Empty,Can,Empty,Wall,11
Empty,Empty,Can,Can,Empty,12
Empty,Empty,Can,Can,Can,13
Empty,Empty,Can,Can,Wall,14
Empty,Empty,Can,Wall,Empty,15
Empty,Empty,Can,Wall,Can,16
Empty,Empty,Can,Wall,Wall,17
Empty,Empty,Wall,Empty,Empty,18
Empty,Empty,Wall,Empty,Can,19
Empty,Empty,Wall,Empty,Wall,20
Empty,Empty,Wall,Can,Empty,21
Empty,Empty,Wall,Can,Can,22
Empty,Empty,Wall,Can,Wall,23
Empty,Empty,Wall,Wall,Empty,24
Empty,Empty,Wall,Wall,Can,25
Empty,Empty,Wall,Wall,Wall,26
Empty,Can,Empty,Empty,Empty,27
Empty,Can,Empty,Empty,Can,28
Empty,Can,Empty,Empty,Wall,29
Empty,Can,Empty,Can,Empty,30
Empty,Can,Empty,Can,Can,31
Empty,Can,Empty,Can,Wall,32
Empty,Can,Empty,Wall,Empty,33
Empty,Can,Empty,Wall,Can,34
Empty,Can,Empty,Wall,Wall,35
Empty,Can,Can,Empty,Empty,36
Empty,Can,Can,Empty,Can,37
Empty,Can,Can,Empty,Wall,38
Empty,Can,Can,Can,Empty,39
Empty,Can,Can,Can,Can,40
Empty,Can,Can,Can,Wall,41
Empty,Can,Can,Wall,Empty,42
Empty,Can,Can,Wall,Can,43
Empty,Can,Can,Wall,Wall,44
Empty,Can,Wall,Empty,Empty,45
Empty,Can,Wall,Empty,Can,46
Empty,Can,Wall,Empty,Wall,47
Empty,Can,Wall,Can,Empty,48
Empty,Can,Wall,Can,Can,49
Empty,Can,Wall,Can,Wall,50
Empty,Can,Wall,Wall,Empty,51
Empty,Can,Wall,Wall,Can,52
Empty,Can,Wall,Wall,Wall,53
Empty,Wall,Empty,Empty,Empty,54
Empty,Wall,Empty,Empty,Can,55
Empty,Wall,Empty,Empty,Wall,56
Empty,Wall,Empty,Can,Empty,57
Empty,Wall,Empty,Can,Can,58
Empty,Wall,Empty,Can,Wall,59
Empty,Wall,Empty,Wall,Empty,60
Empty,Wall,Empty,Wall,Can,61
Empty,Wall,Empty,Wall,Wall,62
Empty,Wall,Can,Empty,Empty,63
Empty,Wall,Can,Empty,Can,64
Empty,Wall,Can,Empty,Wall,65
Empty,Wall,Can,Can,Empty,66
Empty,Wall,Can,Can,Can,67
Empty,Wall,Can,Can,Wall,68
Empty,Wall,Can,Wall,Empty,69
Empty,Wall,Can,Wall,Can,70
Empty,Wall,Can,Wall,Wall,71
Empty,Wall,Wall,Empty,Empty,72
Empty,Wall,Wall,Empty,Can,73
Empty,Wall,Wall,Empty,Wall,74
Empty,Wall,Wall,Can,Empty,75
Empty,Wall,Wall,Can,Can,76
Empty,Wall,Wall,Can,Wall,77
Empty,Wall,Wall,Wall,Empty,78
Empty,Wall,Wall,Wall,Can,79
Empty,Wall,Wall,Wall,Wall,80
Can,Empty,Empty,Empty,Empty,81
Can,Empty,Empty,Empty,Can,82
Can,Empty,Empty,Empty,Wall,83
Can,Empty,Empty,Can,Empty,84
Can,Empty,Empty,Can,Can,85
Can,Empty,Empty,Can,Wall,86
Can,Empty,Empty,Wall,Empty,87
Can,Empty,Empty,Wall,Can,88
Can,Empty,Empty,Wall,Wall,89
Can,Empty,Can,Empty,Empty,90
Can,Empty,Can,Empty,Can,91
Can,Empty,Can,Empty,Wall,92
Can,Empty,Can,Can,Empty,93
Can,Empty,Can,Can,Can,94
Can,Empty,Can,Can,Wall,95
Can,Empty,Can,Wall,Empty,96
Can,Empty,Can,Wall,Can,97
Can,Empty,Can,Wall,Wall,98
Can,Empty,Wall,Empty,Empty,99
Can,Empty,Wall,Empty,Can,100
Can,Empty,Wall,Empty,Wall,101
Can,Empty,Wall,Can,Empty,102
Can,Empty,Wall,Can,Can,103
Can,Empty,Wall,Can,Wall,104
Can,Empty,Wall,Wall,Empty,105
Can,Empty,Wall,Wall,Can,106
Can,Empty,Wall,Wall,Wall,107
Can,Can,Empty,Empty,Empty,108
Can,Can,Empty,Empty,Can,109
Can,Can,Empty,Empty,Wall,110
Can,Can,Empty,Can,Empty,111
Can,Can,Empty,Can,Can,112
Can,Can,Empty,Can,Wall,113
Can,Can,Empty,Wall,Empty,114
Can,Can,Empty,Wall,Can,115
Can,Can,Empty,Wall,Wall,116
Can,Can,Can,Empty,Empty,117
Can,Can,Can,Empty,Can,118
Can,Can,Can,Empty,Wall,119
Can,Can,Can,Can,Empty,120
Can,Can,Can,Can,Can,121
Can,Can,Can,Can,Wall,122
